,Region Name,Country,Class,Category,Type,Constant 2018 USD,Data Type
247,Africa,Cameroon,B5,Capacity-enhancing,Tax exemption,1288360.776497999,Modeled
248,Africa,Cameroon,B6,Capacity-enhancing,Fishing access,538959.66,Modeled
1848,Africa,Cameroon,B7,Capacity-enhancing,Fuel subsidies,0.0,not found evidence of subsidy
249,Africa,Cameroon,C1,Ambiguous,Fisher assistance,0.0,not found evidence of subsidy
250,Africa,Cameroon,C2,Ambiguous,Vessel buyback,0.0,not found evidence of subsidy
251,Africa,Cameroon,C3,Ambiguous,Rural fisher communities,0.0,not found evidence of subsidy
264,Africa,Cape Verde,A1,Beneficial,Fisheries mangt.,2405245.3150568292,Reported
265,Africa,Cape Verde,A2,Beneficial,Fishery R&D,322245.49555928033,Modeled
266,Africa,Cape Verde,A3,Beneficial,MPAs,0.0,not found evidence of subsidy
267,Africa,Cape Verde,B1,Capacity-enhancing,Boat constsruct. & renov.,797687.977587635,Modeled
268,Africa,Cape Verde,B2,Capacity-enhancing,Fisheries dev. projects,1648340.5284068247,Reported
269,Africa,Cape Verde,B3,Capacity-enhancing,Fishing port develop.,0.0,not found evidence of subsidy
270,Africa,Cape Verde,B4,Capacity-enhancing,Markt. & storage infrast.,13304053.890592314,Modeled
271,Africa,Cape Verde,B5,Capacity-enhancing,Tax exemption,1567385.0171192647,Modeled
272,Africa,Cape Verde,B6,Capacity-enhancing,Fishing access,1221567.68,Modeled
1850,Africa,Cape Verde,B7,Capacity-enhancing,Fuel subsidies,704134.058254479,Modeled
273,Africa,Cape Verde,C1,Ambiguous,Fisher assistance,0.0,not found evidence of subsidy
274,Africa,Cape Verde,C2,Ambiguous,Vessel buyback,0.0,not found evidence of subsidy
275,Africa,Cape Verde,C3,Ambiguous,Rural fisher communities,0.0,not found evidence of subsidy
337,Africa,Comoros,A1,Beneficial,Fisheries mangt.,3311832.347458362,Reported
338,Africa,Comoros,A2,Beneficial,Fishery R&D,127232.6209101344,Modeled
339,Africa,Comoros,A3,Beneficial,MPAs,0.0,not found evidence of subsidy
340,Africa,Comoros,B1,Capacity-enhancing,Boat constsruct. & renov.,0.0,not found evidence of subsidy
341,Africa,Comoros,B2,Capacity-enhancing,Fisheries dev. projects,6050083.932120435,Modeled
342,Africa,Comoros,B3,Capacity-enhancing,Fishing port develop.,47644064.0,Reported
343,Africa,Comoros,B4,Capacity-enhancing,Markt. & storage infrast.,383333.33,Reported
344,Africa,Comoros,B5,Capacity-enhancing,Tax exemption,0.0,not found evidence of subsidy
345,Africa,Comoros,B6,Capacity-enhancing,Fishing access,1622522.98,Modeled
1856,Africa,Comoros,B7,Capacity-enhancing,Fuel subsidies,0.0,not found evidence of subsidy
346,Africa,Comoros,C1,Ambiguous,Fisher assistance,0.0,not found evidence of subsidy
347,Africa,Comoros,C2,Ambiguous,Vessel buyback,0.0,not found evidence of subsidy
348,Africa,Comoros,C3,Ambiguous,Rural fisher communities,65458.468567890384,Modeled
361,Africa,Congo Dem Rep,A1,Beneficial,Fisheries mangt.,2842892.89533696,Modeled
362,Africa,Congo Dem Rep,A2,Beneficial,Fishery R&D,0.0,not found evidence of subsidy
363,Africa,Congo Dem Rep,A3,Beneficial,MPAs,439062.57494398823,Modeled
364,Africa,Congo Dem Rep,B1,Capacity-enhancing,Boat constsruct. & renov.,0.0,not found evidence of subsidy
365,Africa,Congo Dem Rep,B2,Capacity-enhancing,Fisheries dev. projects,302615.3910001922,Reported
366,Africa,Congo Dem Rep,B3,Capacity-enhancing,Fishing port develop.,0.0,not found evidence of subsidy
367,Africa,Congo Dem Rep,B4,Capacity-enhancing,Markt. & storage infrast.,0.0,not found evidence of subsidy
368,Africa,Congo Dem Rep,B5,Capacity-enhancing,Tax exemption,0.0,not found evidence of subsidy
369,Africa,Congo Dem Rep,B6,Capacity-enhancing,Fishing access,0.0,not found evidence of subsidy
1858,Africa,Congo Dem Rep,B7,Capacity-enhancing,Fuel subsidies,0.0,not found evidence of subsidy
370,Africa,Congo Dem Rep,C1,Ambiguous,Fisher assistance,0.0,not found evidence of subsidy
371,Africa,Congo Dem Rep,C2,Ambiguous,Vessel buyback,0.0,not found evidence of subsidy
372,Africa,Congo Dem Rep,C3,Ambiguous,Rural fisher communities,0.0,not found evidence of subsidy
349,Africa,Congo Republic,A1,Beneficial,Fisheries mangt.,408629.12273020536,Reported
350,Africa,Congo Republic,A2,Beneficial,Fishery R&D,631605.194940209,Modeled
351,Africa,Congo Republic,A3,Beneficial,MPAs,312560.1748427189,Modeled
352,Africa,Congo Republic,B1,Capacity-enhancing,Boat constsruct. & renov.,0.0,not found evidence of subsidy
353,Africa,Congo Republic,B2,Capacity-enhancing,Fisheries dev. projects,331981.56987876864,Reported
354,Africa,Congo Republic,B3,Capacity-enhancing,Fishing port develop.,0.0,not found evidence of subsidy
355,Africa,Congo Republic,B4,Capacity-enhancing,Markt. & storage infrast.,0.0,not found evidence of subsidy
356,Africa,Congo Republic,B5,Capacity-enhancing,Tax exemption,905912.88241529,Modeled
357,Africa,Congo Republic,B6,Capacity-enhancing,Fishing access,265119.04,Modeled
1857,Africa,Congo Republic,B7,Capacity-enhancing,Fuel subsidies,0.0,not found evidence of subsidy
358,Africa,Congo Republic,C1,Ambiguous,Fisher assistance,0.0,not found evidence of subsidy
359,Africa,Congo Republic,C2,Ambiguous,Vessel buyback,0.0,not found evidence of subsidy
360,Africa,Congo Republic,C3,Ambiguous,Rural fisher communities,0.0,not found evidence of subsidy
830,Africa,Cote d'Ivoire,A1,Beneficial,Fisheries mangt.,3271594.834972254,Reported
831,Africa,Cote d'Ivoire,A2,Beneficial,Fishery R&D,854274.1473332288,Modeled
832,Africa,Cote d'Ivoire,A3,Beneficial,MPAs,213080.5174006769,Modeled
833,Africa,Cote d'Ivoire,B1,Capacity-enhancing,Boat constsruct. & renov.,0.0,not found evidence of subsidy
834,Africa,Cote d'Ivoire,B2,Capacity-enhancing,Fisheries dev. projects,32851596.541757677,Reported
835,Africa,Cote d'Ivoire,B3,Capacity-enhancing,Fishing port develop.,8469529.02910268,Reported
836,Africa,Cote d'Ivoire,B4,Capacity-enhancing,Markt. & storage infrast.,8443324.365670571,Reported
837,Africa,Cote d'Ivoire,B5,Capacity-enhancing,Tax exemption,1889723.0000000002,Reported
838,Africa,Cote d'Ivoire,B6,Capacity-enhancing,Fishing access,655127.14,Modeled
1897,Africa,Cote d'Ivoire,B7,Capacity-enhancing,Fuel subsidies,2147412.5,Reported
839,Africa,Cote d'Ivoire,C1,Ambiguous,Fisher assistance,9256.149245738248,Reported
840,Africa,Cote d'Ivoire,C2,Ambiguous,Vessel buyback,0.0,not found evidence of subsidy
841,Africa,Cote d'Ivoire,C3,Ambiguous,Rural fisher communities,411787.82100000005,Reported
553,Africa,Djibouti,A1,Beneficial,Fisheries mangt.,1876666.6600000001,Reported
554,Africa,Djibouti,A2,Beneficial,Fishery R&D,0.0,not found evidence of subsidy
555,Africa,Djibouti,A3,Beneficial,MPAs,0.0,not found evidence of subsidy
556,Africa,Djibouti,B1,Capacity-enhancing,Boat constsruct. & renov.,0.0,not found evidence of subsidy
557,Africa,Djibouti,B2,Capacity-enhancing,Fisheries dev. projects,369346.05022196425,Modeled
558,Africa,Djibouti,B3,Capacity-enhancing,Fishing port develop.,0.0,not found evidence of subsidy
559,Africa,Djibouti,B4,Capacity-enhancing,Markt. & storage infrast.,2730000.0,Reported
560,Africa,Djibouti,B5,Capacity-enhancing,Tax exemption,61513.26739307933,Modeled
561,Africa,Djibouti,B6,Capacity-enhancing,Fishing access,6775.11,Modeled
1874,Africa,Djibouti,B7,Capacity-enhancing,Fuel subsidies,0.0,not found evidence of subsidy
562,Africa,Djibouti,C1,Ambiguous,Fisher assistance,382500.0,Reported
563,Africa,Djibouti,C2,Ambiguous,Vessel buyback,0.0,not found evidence of subsidy
564,Africa,Djibouti,C3,Ambiguous,Rural fisher communities,19225.545403705302,Modeled
1719,Africa,Egypt,A1,Beneficial,Fisheries mangt.,18845311.553707708,Modeled
1720,Africa,Egypt,A2,Beneficial,Fishery R&D,1521906.2150335498,Modeled
1721,Africa,Egypt,A3,Beneficial,MPAs,4741507.45222537,Modeled
1722,Africa,Egypt,B1,Capacity-enhancing,Boat constsruct. & renov.,0.0,not found evidence of subsidy
1723,Africa,Egypt,B2,Capacity-enhancing,Fisheries dev. projects,24057563.226086885,Modeled
1724,Africa,Egypt,B3,Capacity-enhancing,Fishing port develop.,19973336.61414875,Modeled
1725,Africa,Egypt,B4,Capacity-enhancing,Markt. & storage infrast.,0.0,not found evidence of subsidy
1726,Africa,Egypt,B5,Capacity-enhancing,Tax exemption,0.0,not found evidence of subsidy
1727,Africa,Egypt,B6,Capacity-enhancing,Fishing access,4416742.68,Modeled
1971,Africa,Egypt,B7,Capacity-enhancing,Fuel subsidies,0.0,not found evidence of subsidy
1728,Africa,Egypt,C1,Ambiguous,Fisher assistance,0.0,not found evidence of subsidy
1729,Africa,Egypt,C2,Ambiguous,Vessel buyback,0.0,not found evidence of subsidy
1730,Africa,Egypt,C3,Ambiguous,Rural fisher communities,0.0,not found evidence of subsidy
493,Africa,Equatorial Guinea,A1,Beneficial,Fisheries mangt.,175989.18708901832,Reported
494,Africa,Equatorial Guinea,A2,Beneficial,Fishery R&D,0.0,not found evidence of subsidy
495,Africa,Equatorial Guinea,A3,Beneficial,MPAs,1481876.090545644,Modeled
496,Africa,Equatorial Guinea,B1,Capacity-enhancing,Boat constsruct. & renov.,0.0,not found evidence of subsidy
497,Africa,Equatorial Guinea,B2,Capacity-enhancing,Fisheries dev. projects,135775.65783917764,Reported
498,Africa,Equatorial Guinea,B3,Capacity-enhancing,Fishing port develop.,0.0,not found evidence of subsidy
499,Africa,Equatorial Guinea,B4,Capacity-enhancing,Markt. & storage infrast.,883872.2542090476,Reported
500,Africa,Equatorial Guinea,B5,Capacity-enhancing,Tax exemption,0.0,not found evidence of subsidy
501,Africa,Equatorial Guinea,B6,Capacity-enhancing,Fishing access,15258.23,Modeled
1869,Africa,Equatorial Guinea,B7,Capacity-enhancing,Fuel subsidies,0.0,not found evidence of subsidy
502,Africa,Equatorial Guinea,C1,Ambiguous,Fisher assistance,545566.4799759568,Reported
503,Africa,Equatorial Guinea,C2,Ambiguous,Vessel buyback,0.0,not found evidence of subsidy
504,Africa,Equatorial Guinea,C3,Ambiguous,Rural fisher communities,703956.7483560733,Reported
216,Africa,Eritrea,A1,Beneficial,Fisheries mangt.,11252411.156114003,Reported
217,Africa,Eritrea,A2,Beneficial,Fishery R&D,75731.72988460728,Modeled
218,Africa,Eritrea,A3,Beneficial,MPAs,0.0,not found evidence of subsidy
219,Africa,Eritrea,B1,Capacity-enhancing,Boat constsruct. & renov.,0.0,not found evidence of subsidy
220,Africa,Eritrea,B2,Capacity-enhancing,Fisheries dev. projects,754344.2529871456,Reported
221,Africa,Eritrea,B3,Capacity-enhancing,Fishing port develop.,0.0,not found evidence of subsidy
222,Africa,Eritrea,B4,Capacity-enhancing,Markt. & storage infrast.,9858787.650343789,Reported
223,Africa,Eritrea,B5,Capacity-enhancing,Tax exemption,0.0,not found evidence of subsidy
224,Africa,Eritrea,B6,Capacity-enhancing,Fishing access,0.0,not found evidence of subsidy
1846,Africa,Eritrea,B7,Capacity-enhancing,Fuel subsidies,0.0,not found evidence of subsidy
225,Africa,Eritrea,C1,Ambiguous,Fisher assistance,0.0,not found evidence of subsidy
226,Africa,Eritrea,C2,Ambiguous,Vessel buyback,0.0,not found evidence of subsidy
227,Africa,Eritrea,C3,Ambiguous,Rural fisher communities,38962.35906155628,Modeled
565,Africa,Gabon,A1,Beneficial,Fisheries mangt.,19147680.705304276,Modeled
566,Africa,Gabon,A2,Beneficial,Fishery R&D,4486358.33067219,Modeled
567,Africa,Gabon,A3,Beneficial,MPAs,12007262.605431598,Modeled
568,Africa,Gabon,B1,Capacity-enhancing,Boat constsruct. & renov.,1733674.4073331566,Modeled
569,Africa,Gabon,B2,Capacity-enhancing,Fisheries dev. projects,5127871.903394603,Modeled
570,Africa,Gabon,B3,Capacity-enhancing,Fishing port develop.,0.0,not found evidence of subsidy
571,Africa,Gabon,B4,Capacity-enhancing,Markt. & storage infrast.,3894780.973286934,Modeled
572,Africa,Gabon,B5,Capacity-enhancing,Tax exemption,6036531.898576329,Modeled
573,Africa,Gabon,B6,Capacity-enhancing,Fishing access,24940.23,Modeled
1875,Africa,Gabon,B7,Capacity-enhancing,Fuel subsidies,7429373.572649564,Modeled
574,Africa,Gabon,C1,Ambiguous,Fisher assistance,0.0,not found evidence of subsidy
575,Africa,Gabon,C2,Ambiguous,Vessel buyback,0.0,not found evidence of subsidy
576,Africa,Gabon,C3,Ambiguous,Rural fisher communities,2399530.0038237544,Modeled
589,Africa,Gambia,A1,Beneficial,Fisheries mangt.,1085070.8176439153,Reported
590,Africa,Gambia,A2,Beneficial,Fishery R&D,1244210.9598882233,Modeled
591,Africa,Gambia,A3,Beneficial,MPAs,232967.75428149835,Modeled
592,Africa,Gambia,B1,Capacity-enhancing,Boat constsruct. & renov.,0.0,not found evidence of subsidy
593,Africa,Gambia,B2,Capacity-enhancing,Fisheries dev. projects,5152611.660799353,Modeled
594,Africa,Gambia,B3,Capacity-enhancing,Fishing port develop.,4277858.325715114,Modeled
595,Africa,Gambia,B4,Capacity-enhancing,Markt. & storage infrast.,7284018.722776969,Modeled
596,Africa,Gambia,B5,Capacity-enhancing,Tax exemption,858149.0953347702,Modeled
597,Africa,Gambia,B6,Capacity-enhancing,Fishing access,16465.68,Modeled
1877,Africa,Gambia,B7,Capacity-enhancing,Fuel subsidies,0.0,Reported
598,Africa,Gambia,C1,Ambiguous,Fisher assistance,0.0,not found evidence of subsidy
599,Africa,Gambia,C2,Ambiguous,Vessel buyback,0.0,not found evidence of subsidy
600,Africa,Gambia,C3,Ambiguous,Rural fisher communities,640119.9898820976,Modeled
613,Africa,Ghana,A1,Beneficial,Fisheries mangt.,5107681.320074833,Reported
614,Africa,Ghana,A2,Beneficial,Fishery R&D,2397032.1077930434,Modeled
615,Africa,Ghana,A3,Beneficial,MPAs,474609.9588520375,Modeled
616,Africa,Ghana,B1,Capacity-enhancing,Boat constsruct. & renov.,4693988.198372855,Reported
617,Africa,Ghana,B2,Capacity-enhancing,Fisheries dev. projects,474609.9588520375,Reported
618,Africa,Ghana,B2,Capacity-enhancing,Fisheries dev. projects,34442052.78899124,Modeled
619,Africa,Ghana,B3,Capacity-enhancing,Fishing port develop.,28594862.562424947,Modeled
620,Africa,Ghana,B4,Capacity-enhancing,Markt. & storage infrast.,296819.0075889177,Reported
621,Africa,Ghana,B5,Capacity-enhancing,Tax exemption,3790718.9976734594,Reported
622,Africa,Ghana,B6,Capacity-enhancing,Fishing access,2053122.88,Modeled
1879,Africa,Ghana,B7,Capacity-enhancing,Fuel subsidies,63219653.83112167,Reported
623,Africa,Ghana,C1,Ambiguous,Fisher assistance,1045460.3460140091,Reported
624,Africa,Ghana,C2,Ambiguous,Vessel buyback,0.0,not found evidence of subsidy
625,Africa,Ghana,C3,Ambiguous,Rural fisher communities,474609.9588520375,Reported
674,Africa,Guinea,A1,Beneficial,Fisheries mangt.,1334303.946400913,Reported
675,Africa,Guinea,A2,Beneficial,Fishery R&D,38000.0,Reported
676,Africa,Guinea,A3,Beneficial,MPAs,1067840.6516632456,Modeled
677,Africa,Guinea,B1,Capacity-enhancing,Boat constsruct. & renov.,175000.0,Reported
678,Africa,Guinea,B2,Capacity-enhancing,Fisheries dev. projects,11658575.831843654,Reported
679,Africa,Guinea,B3,Capacity-enhancing,Fishing port develop.,1123156.6331269876,Reported
680,Africa,Guinea,B4,Capacity-enhancing,Markt. & storage infrast.,703850.6206679231,Reported
681,Africa,Guinea,B5,Capacity-enhancing,Tax exemption,2154352.980247665,Modeled
682,Africa,Guinea,B6,Capacity-enhancing,Fishing access,705379.2200000001,Modeled
1884,Africa,Guinea,B7,Capacity-enhancing,Fuel subsidies,0.0,not found evidence of subsidy
683,Africa,Guinea,C1,Ambiguous,Fisher assistance,16890.615284638665,Reported
684,Africa,Guinea,C2,Ambiguous,Vessel buyback,0.0,not found evidence of subsidy
685,Africa,Guinea,C3,Ambiguous,Rural fisher communities,150000.00000000003,Reported
1335,Africa,Guinea-Bissau,A1,Beneficial,Fisheries mangt.,2831394.73601061,Reported
1336,Africa,Guinea-Bissau,A2,Beneficial,Fishery R&D,61420.47522954476,Reported
1337,Africa,Guinea-Bissau,A3,Beneficial,MPAs,2620727.2044837335,Modeled
1338,Africa,Guinea-Bissau,B1,Capacity-enhancing,Boat constsruct. & renov.,0.0,not found evidence of subsidy
1339,Africa,Guinea-Bissau,B2,Capacity-enhancing,Fisheries dev. projects,91002.74704756826,Reported
1340,Africa,Guinea-Bissau,B3,Capacity-enhancing,Fishing port develop.,0.0,not found evidence of subsidy
1341,Africa,Guinea-Bissau,B4,Capacity-enhancing,Markt. & storage infrast.,0.0,not found evidence of subsidy
1342,Africa,Guinea-Bissau,B5,Capacity-enhancing,Tax exemption,0.0,not found evidence of subsidy
1343,Africa,Guinea-Bissau,B6,Capacity-enhancing,Fishing access,0.0,not found evidence of subsidy
1939,Africa,Guinea-Bissau,B7,Capacity-enhancing,Fuel subsidies,0.0,not found evidence of subsidy
1344,Africa,Guinea-Bissau,C1,Ambiguous,Fisher assistance,0.0,not found evidence of subsidy
1345,Africa,Guinea-Bissau,C2,Ambiguous,Vessel buyback,0.0,not found evidence of subsidy
1346,Africa,Guinea-Bissau,C3,Ambiguous,Rural fisher communities,2779096.1495496966,Modeled
878,Africa,Kenya,A1,Beneficial,Fisheries mangt.,7614342.818371265,Reported
879,Africa,Kenya,A2,Beneficial,Fishery R&D,529675.1308664103,Reported
880,Africa,Kenya,A3,Beneficial,MPAs,2234932.3576506856,Modeled
881,Africa,Kenya,B1,Capacity-enhancing,Boat constsruct. & renov.,711467.0494011673,Reported
882,Africa,Kenya,B2,Capacity-enhancing,Fisheries dev. projects,38135798.1428778,Reported
883,Africa,Kenya,B3,Capacity-enhancing,Fishing port develop.,4444600.860370688,Reported
884,Africa,Kenya,B4,Capacity-enhancing,Markt. & storage infrast.,3204817.9187620846,Reported
885,Africa,Kenya,B5,Capacity-enhancing,Tax exemption,441949.920782313,Modeled
886,Africa,Kenya,B6,Capacity-enhancing,Fishing access,315437.34,Modeled
1901,Africa,Kenya,B7,Capacity-enhancing,Fuel subsidies,0.0,not found evidence of subsidy
887,Africa,Kenya,C1,Ambiguous,Fisher assistance,0.0,not found evidence of subsidy
888,Africa,Kenya,C2,Ambiguous,Vessel buyback,0.0,not found evidence of subsidy
889,Africa,Kenya,C3,Ambiguous,Rural fisher communities,0.0,not found evidence of subsidy
950,Africa,Liberia,A1,Beneficial,Fisheries mangt.,66376.0,Reported
951,Africa,Liberia,A2,Beneficial,Fishery R&D,0.0,not found evidence of subsidy
952,Africa,Liberia,A3,Beneficial,MPAs,207925.21428632498,Modeled
953,Africa,Liberia,B1,Capacity-enhancing,Boat constsruct. & renov.,0.0,not found evidence of subsidy
954,Africa,Liberia,B2,Capacity-enhancing,Fisheries dev. projects,1853228.0298981138,Modeled
955,Africa,Liberia,B3,Capacity-enhancing,Fishing port develop.,0.0,not found evidence of subsidy
956,Africa,Liberia,B4,Capacity-enhancing,Markt. & storage infrast.,0.0,not found evidence of subsidy
957,Africa,Liberia,B5,Capacity-enhancing,Tax exemption,308648.5188482816,Modeled
958,Africa,Liberia,B6,Capacity-enhancing,Fishing access,1019.0400000000001,Modeled
1907,Africa,Liberia,B7,Capacity-enhancing,Fuel subsidies,1267806.7489445657,Modeled
959,Africa,Liberia,C1,Ambiguous,Fisher assistance,0.0,not found evidence of subsidy
960,Africa,Liberia,C2,Ambiguous,Vessel buyback,0.0,not found evidence of subsidy
961,Africa,Liberia,C3,Ambiguous,Rural fisher communities,315461.0911143822,Modeled
962,Africa,Libya,A1,Beneficial,Fisheries mangt.,13086935.187322048,Modeled
963,Africa,Libya,A2,Beneficial,Fishery R&D,3066307.6956544793,Modeled
964,Africa,Libya,A3,Beneficial,MPAs,0.0,not found evidence of subsidy
965,Africa,Libya,B1,Capacity-enhancing,Boat constsruct. & renov.,0.0,not found evidence of subsidy
966,Africa,Libya,B2,Capacity-enhancing,Fisheries dev. projects,0.0,not found evidence of subsidy
967,Africa,Libya,B3,Capacity-enhancing,Fishing port develop.,0.0,not found evidence of subsidy
968,Africa,Libya,B4,Capacity-enhancing,Markt. & storage infrast.,0.0,not found evidence of subsidy
969,Africa,Libya,B5,Capacity-enhancing,Tax exemption,0.0,not found evidence of subsidy
970,Africa,Libya,B6,Capacity-enhancing,Fishing access,0.0,not found evidence of subsidy
1908,Africa,Libya,B7,Capacity-enhancing,Fuel subsidies,0.0,not found evidence of subsidy
971,Africa,Libya,C1,Ambiguous,Fisher assistance,0.0,not found evidence of subsidy
972,Africa,Libya,C2,Ambiguous,Vessel buyback,0.0,not found evidence of subsidy
973,Africa,Libya,C3,Ambiguous,Rural fisher communities,0.0,not found evidence of subsidy
986,Africa,Madagascar,A1,Beneficial,Fisheries mangt.,50033939.11102672,Reported
987,Africa,Madagascar,A2,Beneficial,Fishery R&D,1128771.6243631013,Modeled
988,Africa,Madagascar,A3,Beneficial,MPAs,10027541.192150787,Modeled
989,Africa,Madagascar,B1,Capacity-enhancing,Boat constsruct. & renov.,0.0,not found evidence of subsidy
990,Africa,Madagascar,B2,Capacity-enhancing,Fisheries dev. projects,32804971.728735305,Reported
991,Africa,Madagascar,B3,Capacity-enhancing,Fishing port develop.,22974.107355,Reported
992,Africa,Madagascar,B4,Capacity-enhancing,Markt. & storage infrast.,39887.50845,Reported
993,Africa,Madagascar,B5,Capacity-enhancing,Tax exemption,0.0,not found evidence of subsidy
994,Africa,Madagascar,B6,Capacity-enhancing,Fishing access,35073.78,Modeled
1910,Africa,Madagascar,B7,Capacity-enhancing,Fuel subsidies,0.0,not found evidence of subsidy
995,Africa,Madagascar,C1,Ambiguous,Fisher assistance,0.0,not found evidence of subsidy
996,Africa,Madagascar,C2,Ambiguous,Vessel buyback,0.0,not found evidence of subsidy
997,Africa,Madagascar,C3,Ambiguous,Rural fisher communities,580728.9149996069,Modeled
1034,Africa,Mauritania,A1,Beneficial,Fisheries mangt.,3090217.037164854,Reported
1035,Africa,Mauritania,A2,Beneficial,Fishery R&D,511872.20422623196,Reported
1036,Africa,Mauritania,A3,Beneficial,MPAs,818875.2951692309,Modeled
1037,Africa,Mauritania,B1,Capacity-enhancing,Boat constsruct. & renov.,1664961.2742296113,Modeled
1038,Africa,Mauritania,B2,Capacity-enhancing,Fisheries dev. projects,1136227.5855800994,Reported
1039,Africa,Mauritania,B3,Capacity-enhancing,Fishing port develop.,14709876.34,Reported
1040,Africa,Mauritania,B4,Capacity-enhancing,Markt. & storage infrast.,6367759.650328797,Reported
1041,Africa,Mauritania,B5,Capacity-enhancing,Tax exemption,3271498.9176636976,Modeled
1042,Africa,Mauritania,B6,Capacity-enhancing,Fishing access,122240.29,Modeled
1914,Africa,Mauritania,B7,Capacity-enhancing,Fuel subsidies,1621495.0228653431,Modeled
1043,Africa,Mauritania,C1,Ambiguous,Fisher assistance,1135178.2447864811,Reported
1044,Africa,Mauritania,C2,Ambiguous,Vessel buyback,0.0,not found evidence of subsidy
1045,Africa,Mauritania,C3,Ambiguous,Rural fisher communities,3246144.9474232495,Modeled
1046,Africa,Mauritius,A1,Beneficial,Fisheries mangt.,8238822.889209745,Reported
1047,Africa,Mauritius,A2,Beneficial,Fishery R&D,188664.255,Reported
1048,Africa,Mauritius,A3,Beneficial,MPAs,809473.8455898601,Modeled
