Region Name,Country,Type,Subsidies amount (USD in 2018),Data Type,Source of information
Africa,Benin,Fishing port develop.,0,not found evidence of subsidy,
Africa,Benin,Markt. & storage infrast.,0,not found evidence of subsidy,
Africa,Benin,Tax exemption,0,not found evidence of subsidy,
Africa,Benin,Fishing access,0,not found evidence of subsidy,
Africa,Benin,Fuel subsidies,0,not found evidence of subsidy,
Africa,Benin,Fisher assistance,0,not found evidence of subsidy,
Africa,Benin,Vessel buyback,0,not found evidence of subsidy,
Africa,Benin,Rural fisher communities,232400.311224247,Modeled,
Africa,Cameroon,Fisheries mangt.,5131498.14437185,Reported,"['Cameroon Loi de Finance 2018', 'OECDStat, Overseas Development Aid, Fisheries Policy & Management']"
Africa,Cameroon,Fishery R&D,609560.698393565,Modeled,
Africa,Cameroon,MPAs,1475377.54642155,Modeled,"['Marine Conservation Institute (2018), MPAtlas; World Database on Protected Areas (WDPA); McCrea-Strub et al. (2011) Understanding the cost of establishing marine protected areas. Mar. Pol.']"
Africa,Cameroon,Boat constsruct. & renov.,655684.398525627,Modeled,
Africa,Cameroon,Fisheries dev. projects,17023910.0928104,Reported,"['Cameroon Loi de Finance 2018', 'OECDStat, Overseas Development Aid, Fishery Development']"
Africa,Cameroon,Fishing port develop.,0,not found evidence of subsidy,
Africa,Cameroon,Markt. & storage infrast.,0,not found evidence of subsidy,
Africa,Cameroon,Tax exemption,1288360.776498,Modeled,
Africa,Cameroon,Fishing access,538959.66,Modeled,"['Pauly & Zeller (2015). Sea Around Us Concepts, Design and Data (seaaroundus.org); Belhabib et al. (2015), PlosOne.']"
Africa,Cameroon,Fuel subsidies,0,not found evidence of subsidy,
Africa,Cameroon,Fisher assistance,0,not found evidence of subsidy,
Africa,Cameroon,Vessel buyback,0,not found evidence of subsidy,
Africa,Cameroon,Rural fisher communities,0,not found evidence of subsidy,
Africa,Cape Verde,Fisheries mangt.,2405245.31505683,Reported,"['OECDStat, Overseas Development Aid, Fisheries Policy & Management']"
Africa,Cape Verde,Fishery R&D,322245.49555928,Modeled,
Africa,Cape Verde,MPAs,0,not found evidence of subsidy,
Africa,Cape Verde,Boat constsruct. & renov.,797687.977587635,Modeled,
Africa,Cape Verde,Fisheries dev. projects,1648340.52840682,Reported,"['Cape Verde National Budget 2018', 'OECDStat, Overseas Development Aid, Fishery Development']"
Africa,Cape Verde,Fishing port develop.,0,not found evidence of subsidy,
Africa,Cape Verde,Markt. & storage infrast.,13304053.8905923,Modeled,
Africa,Cape Verde,Tax exemption,1567385.01711926,Modeled,
Africa,Cape Verde,Fishing access,1221567.68,Modeled,"['Pauly & Zeller (2015). Sea Around Us Concepts, Design and Data (seaaroundus.org); Belhabib et al. (2015), PlosOne.']"
Africa,Cape Verde,Fuel subsidies,704134.058254479,Modeled,
Africa,Cape Verde,Fisher assistance,0,not found evidence of subsidy,
Africa,Cape Verde,Vessel buyback,0,not found evidence of subsidy,
Africa,Cape Verde,Rural fisher communities,0,not found evidence of subsidy,
Africa,Comoros,Fisheries mangt.,3311832.34745836,Reported,"['OECDStat, Overseas Development Aid, Fisheries Policy & Management', 'SWIOFish1 World Bank Appraisal GEF Data Sheet']"
Africa,Comoros,Fishery R&D,127232.620910134,Modeled,
Africa,Comoros,MPAs,0,not found evidence of subsidy,
Africa,Comoros,Boat constsruct. & renov.,0,not found evidence of subsidy,
Africa,Comoros,Fisheries dev. projects,6050083.93212044,Modeled,
Africa,Comoros,Fishing port develop.,47644064,Reported,"[""Union des Comores, Plan d'Investissement Quinquennal (PIQ) 2016-2021""]"
Africa,Comoros,Markt. & storage infrast.,383333.33,Reported,['SWIOFish1 World Bank Appraisal GEF Data Sheet']
Africa,Comoros,Tax exemption,0,not found evidence of subsidy,
Africa,Comoros,Fishing access,1622522.98,Modeled,"['Pauly & Zeller (2015). Sea Around Us Concepts, Design and Data (seaaroundus.org); Belhabib et al. (2015), PlosOne.']"
Africa,Comoros,Fuel subsidies,0,not found evidence of subsidy,
Africa,Comoros,Fisher assistance,0,not found evidence of subsidy,
Africa,Comoros,Vessel buyback,0,not found evidence of subsidy,
Africa,Comoros,Rural fisher communities,65458.4685678904,Modeled,
Africa,Congo Dem Rep,Fisheries mangt.,2842892.89533696,Modeled,
Africa,Congo Dem Rep,Fishery R&D,0,not found evidence of subsidy,
Africa,Congo Dem Rep,MPAs,439062.574943988,Modeled,"['Marine Conservation Institute (2018), MPAtlas; World Database on Protected Areas (WDPA); McCrea-Strub et al. (2011) Understanding the cost of establishing marine protected areas. Mar. Pol.']"
Africa,Congo Dem Rep,Boat constsruct. & renov.,0,not found evidence of subsidy,
Africa,Congo Dem Rep,Fisheries dev. projects,302615.391000192,Reported,"['OECDStat, Overseas Development Aid, Fishery Development']"
Africa,Congo Dem Rep,Fishing port develop.,0,not found evidence of subsidy,
Africa,Congo Dem Rep,Markt. & storage infrast.,0,not found evidence of subsidy,
Africa,Congo Dem Rep,Tax exemption,0,not found evidence of subsidy,
Africa,Congo Dem Rep,Fishing access,0,not found evidence of subsidy,
Africa,Congo Dem Rep,Fuel subsidies,0,not found evidence of subsidy,
Africa,Congo Dem Rep,Fisher assistance,0,not found evidence of subsidy,
Africa,Congo Dem Rep,Vessel buyback,0,not found evidence of subsidy,
Africa,Congo Dem Rep,Rural fisher communities,0,not found evidence of subsidy,
Africa,Congo Republic,Fisheries mangt.,408629.122730205,Reported,"['OECDStat, Overseas Development Aid, Fisheries Policy & Management']"
Africa,Congo Republic,Fishery R&D,631605.194940209,Modeled,
Africa,Congo Republic,MPAs,312560.174842719,Modeled,"['Marine Conservation Institute (2018), MPAtlas; World Database on Protected Areas (WDPA); McCrea-Strub et al. (2011) Understanding the cost of establishing marine protected areas. Mar. Pol.']"
Africa,Congo Republic,Boat constsruct. & renov.,0,not found evidence of subsidy,
Africa,Congo Republic,Fisheries dev. projects,331981.569878769,Reported,"['OECDStat, Overseas Development Aid, Fishery Development']"
Africa,Congo Republic,Fishing port develop.,0,not found evidence of subsidy,
Africa,Congo Republic,Markt. & storage infrast.,0,not found evidence of subsidy,
Africa,Congo Republic,Tax exemption,905912.88241529,Modeled,
Africa,Congo Republic,Fishing access,265119.04,Modeled,"['Pauly & Zeller (2015). Sea Around Us Concepts, Design and Data (seaaroundus.org); Belhabib et al. (2015), PlosOne.']"
Africa,Congo Republic,Fuel subsidies,0,not found evidence of subsidy,
Africa,Congo Republic,Fisher assistance,0,not found evidence of subsidy,
Africa,Congo Republic,Vessel buyback,0,not found evidence of subsidy,
Africa,Congo Republic,Rural fisher communities,0,not found evidence of subsidy,
Africa,Cote d'Ivoire,Fisheries mangt.,3271594.83497225,Reported,"[""Cote d'Ivoire Loi de Finances 2018"", 'OECDStat, Overseas Development Aid, Fisheries Policy & Management']"
Africa,Cote d'Ivoire,Fishery R&D,854274.147333229,Modeled,
Africa,Cote d'Ivoire,MPAs,213080.517400677,Modeled,"['Marine Conservation Institute (2018), MPAtlas; World Database on Protected Areas (WDPA); McCrea-Strub et al. (2011) Understanding the cost of establishing marine protected areas. Mar. Pol.']"
Africa,Cote d'Ivoire,Boat constsruct. & renov.,0,not found evidence of subsidy,
Africa,Cote d'Ivoire,Fisheries dev. projects,32851596.5417577,Reported,"[""Cote d'Ivoire Loi de Finances 2018"", 'OECDStat, Overseas Development Aid, Fishery Development']"
Africa,Cote d'Ivoire,Fishing port develop.,8469529.02910268,Reported,"[""Cote d'Ivoire Loi de Finances 2018""]"
Africa,Cote d'Ivoire,Markt. & storage infrast.,8443324.36567057,Reported,"[""Cote d'Ivoire Loi de Finances 2018""]"
Africa,Cote d'Ivoire,Tax exemption,1889723,Reported,"[""Cote d'Ivoire Rapport sur la Depense Fiscale 2018""]"
Africa,Cote d'Ivoire,Fishing access,655127.14,Modeled,"['Pauly & Zeller (2015). Sea Around Us Concepts, Design and Data (seaaroundus.org); Belhabib et al. (2015), PlosOne.']"
Africa,Cote d'Ivoire,Fuel subsidies,2147412.5,Reported,"[""Cote d'Ivoire Rapport sur la Depense Fiscale 2018""]"
Africa,Cote d'Ivoire,Fisher assistance,9256.14924573825,Reported,"['OECDStat, Overseas Development Aid, Fisheries Training']"
Africa,Cote d'Ivoire,Vessel buyback,0,not found evidence of subsidy,
Africa,Cote d'Ivoire,Rural fisher communities,411787.821,Reported,"[""Cote d'Ivoire Loi de Finances 2018""]"
Africa,Djibouti,Fisheries mangt.,1876666.66,Reported,['Republique de Djibouti PRAREV-Peche']
Africa,Djibouti,Fishery R&D,0,not found evidence of subsidy,
Africa,Djibouti,MPAs,0,not found evidence of subsidy,
Africa,Djibouti,Boat constsruct. & renov.,0,not found evidence of subsidy,
Africa,Djibouti,Fisheries dev. projects,369346.050221964,Modeled,
Africa,Djibouti,Fishing port develop.,0,not found evidence of subsidy,
Africa,Djibouti,Markt. & storage infrast.,2730000,Reported,['Republique de Djibouti PRAREV-Peche']
Africa,Djibouti,Tax exemption,61513.2673930793,Modeled,
Africa,Djibouti,Fishing access,6775.11,Modeled,"['Pauly & Zeller (2015). Sea Around Us Concepts, Design and Data (seaaroundus.org); Belhabib et al. (2015), PlosOne.']"
Africa,Djibouti,Fuel subsidies,0,not found evidence of subsidy,
Africa,Djibouti,Fisher assistance,382500,Reported,['Republique de Djibouti PRAREV-Peche']
Africa,Djibouti,Vessel buyback,0,not found evidence of subsidy,
Africa,Djibouti,Rural fisher communities,19225.5454037053,Modeled,
Africa,Egypt,Fisheries mangt.,18845311.5537077,Modeled,
Africa,Egypt,Fishery R&D,1521906.21503355,Modeled,
Africa,Egypt,MPAs,4741507.45222537,Modeled,"['Marine Conservation Institute (2018), MPAtlas; World Database on Protected Areas (WDPA); McCrea-Strub et al. (2011) Understanding the cost of establishing marine protected areas. Mar. Pol.']"
Africa,Egypt,Boat constsruct. & renov.,0,not found evidence of subsidy,
Africa,Egypt,Fisheries dev. projects,24057563.2260869,Modeled,
Africa,Egypt,Fishing port develop.,19973336.6141488,Modeled,
Africa,Egypt,Markt. & storage infrast.,0,not found evidence of subsidy,
Africa,Egypt,Tax exemption,0,not found evidence of subsidy,
Africa,Egypt,Fishing access,4416742.68,Modeled,"['Pauly & Zeller (2015). Sea Around Us Concepts, Design and Data (seaaroundus.org); Belhabib et al. (2015), PlosOne.']"
Africa,Egypt,Fuel subsidies,0,not found evidence of subsidy,
Africa,Egypt,Fisher assistance,0,not found evidence of subsidy,
Africa,Egypt,Vessel buyback,0,not found evidence of subsidy,
Africa,Egypt,Rural fisher communities,0,not found evidence of subsidy,
Africa,Equatorial Guinea,Fisheries mangt.,175989.187089018,Reported,['Ley de Presupuestos Generales del Estado 2017']
Africa,Equatorial Guinea,Fishery R&D,0,not found evidence of subsidy,
Africa,Equatorial Guinea,MPAs,1481876.09054564,Modeled,"['Marine Conservation Institute (2018), MPAtlas; World Database on Protected Areas (WDPA); McCrea-Strub et al. (2011) Understanding the cost of establishing marine protected areas. Mar. Pol.']"
Africa,Equatorial Guinea,Boat constsruct. & renov.,0,not found evidence of subsidy,
Africa,Equatorial Guinea,Fisheries dev. projects,135775.657839178,Reported,['Ley de Presupuestos Generales del Estado 2017']
Africa,Equatorial Guinea,Fishing port develop.,0,not found evidence of subsidy,
Africa,Equatorial Guinea,Markt. & storage infrast.,883872.254209048,Reported,['Ley de Presupuestos Generales del Estado 2017']
Africa,Equatorial Guinea,Tax exemption,0,not found evidence of subsidy,
Africa,Equatorial Guinea,Fishing access,15258.23,Modeled,"['Pauly & Zeller (2015). Sea Around Us Concepts, Design and Data (seaaroundus.org); Belhabib et al. (2015), PlosOne.']"
Africa,Equatorial Guinea,Fuel subsidies,0,not found evidence of subsidy,
Africa,Equatorial Guinea,Fisher assistance,545566.479975957,Reported,['Ley de Presupuestos Generales del Estado 2017']
Africa,Equatorial Guinea,Vessel buyback,0,not found evidence of subsidy,
Africa,Equatorial Guinea,Rural fisher communities,703956.748356073,Reported,['Ley de Presupuestos Generales del Estado 2017']
Africa,Eritrea,Fisheries mangt.,11252411.156114,Reported,"['OECDStat, Overseas Development Aid, Fisheries Policy & Management']"
Africa,Eritrea,Fishery R&D,75731.7298846073,Modeled,
Africa,Eritrea,MPAs,0,not found evidence of subsidy,
Africa,Eritrea,Boat constsruct. & renov.,0,not found evidence of subsidy,
Africa,Eritrea,Fisheries dev. projects,754344.252987146,Reported,"['OECDStat, Overseas Development Aid, Fishery Development']"
Africa,Eritrea,Fishing port develop.,0,not found evidence of subsidy,
Africa,Eritrea,Markt. & storage infrast.,9858787.65034379,Reported,"['OECDStat, Overseas Development Aid, Fishery Services']"
Africa,Eritrea,Tax exemption,0,not found evidence of subsidy,
Africa,Eritrea,Fishing access,0,not found evidence of subsidy,
Africa,Eritrea,Fuel subsidies,0,not found evidence of subsidy,
Africa,Eritrea,Fisher assistance,0,not found evidence of subsidy,
Africa,Eritrea,Vessel buyback,0,not found evidence of subsidy,
Africa,Eritrea,Rural fisher communities,38962.3590615563,Modeled,
Africa,Gabon,Fisheries mangt.,19147680.7053043,Modeled,
Africa,Gabon,Fishery R&D,4486358.33067219,Modeled,
Africa,Gabon,MPAs,12007262.6054316,Modeled,"['Marine Conservation Institute (2018), MPAtlas; World Database on Protected Areas (WDPA); McCrea-Strub et al. (2011) Understanding the cost of establishing marine protected areas. Mar. Pol.']"
Africa,Gabon,Boat constsruct. & renov.,1733674.40733316,Modeled,
Africa,Gabon,Fisheries dev. projects,5127871.9033946,Modeled,
Africa,Gabon,Fishing port develop.,0,not found evidence of subsidy,
Africa,Gabon,Markt. & storage infrast.,3894780.97328693,Modeled,
Africa,Gabon,Tax exemption,6036531.89857633,Modeled,
Africa,Gabon,Fishing access,24940.23,Modeled,"['Pauly & Zeller (2015). Sea Around Us Concepts, Design and Data (seaaroundus.org); Belhabib et al. (2015), PlosOne.']"
Africa,Gabon,Fuel subsidies,7429373.57264956,Modeled,
Africa,Gabon,Fisher assistance,0,not found evidence of subsidy,
Africa,Gabon,Vessel buyback,0,not found evidence of subsidy,
Africa,Gabon,Rural fisher communities,2399530.00382375,Modeled,
Africa,Gambia,Fisheries mangt.,1085070.81764392,Reported,"['OECDStat, Overseas Development Aid, Fisheries Policy & Management']"
Africa,Gambia,Fishery R&D,1244210.95988822,Modeled,
Africa,Gambia,MPAs,232967.754281498,Modeled,"['Marine Conservation Institute (2018), MPAtlas; World Database on Protected Areas (WDPA); McCrea-Strub et al. (2011) Understanding the cost of establishing marine protected areas. Mar. Pol.']"
Africa,Gambia,Boat constsruct. & renov.,0,not found evidence of subsidy,
Africa,Gambia,Fisheries dev. projects,5152611.66079935,Modeled,
Africa,Gambia,Fishing port develop.,4277858.32571511,Modeled,
Africa,Gambia,Markt. & storage infrast.,7284018.72277697,Modeled,
Africa,Gambia,Tax exemption,858149.09533477,Modeled,
Africa,Gambia,Fishing access,16465.68,Modeled,"['Pauly & Zeller (2015). Sea Around Us Concepts, Design and Data (seaaroundus.org); Belhabib et al. (2015), PlosOne.']"
Africa,Gambia,Fuel subsidies,0,Reported,['UNCTAD 2013 fisheries']
Africa,Gambia,Fisher assistance,0,not found evidence of subsidy,
Africa,Gambia,Vessel buyback,0,not found evidence of subsidy,
Africa,Gambia,Rural fisher communities,640119.989882098,Modeled,
Africa,Ghana,Fisheries mangt.,5107681.32007483,Reported,"['Ghana Expenditure Framework 2018-2021', 'OECDStat, Overseas Development Aid, Fisheries Policy & Management']"
Africa,Ghana,Fishery R&D,2397032.10779304,Modeled,
Africa,Ghana,MPAs,474609.958852038,Modeled,['Ghana Expenditure Framework 2018-2021']
Africa,Ghana,Boat constsruct. & renov.,4693988.19837286,Reported,['USAID Sustainable Fisheries Management Project (2016) Subsidies in Ghanas Marine Artisanal Fisheries Sector']
Africa,Ghana,Fisheries dev. projects,474609.958852038,Reported,['Ghana Expenditure Framework 2018-2021']
Africa,Ghana,Fisheries dev. projects,34442052.7889912,Modeled,['Ghana Expenditure Framework 2018-2021']
Africa,Ghana,Fishing port develop.,28594862.5624249,Modeled,
Africa,Ghana,Markt. & storage infrast.,296819.007588918,Reported,['Ghana Expenditure Framework 2018-2021']
Africa,Ghana,Tax exemption,3790718.99767346,Reported,['Tax Expenditure Estimates 2016']
Africa,Ghana,Fishing access,2053122.88,Modeled,"['Pauly & Zeller (2015). Sea Around Us Concepts, Design and Data (seaaroundus.org); Belhabib et al. (2015), PlosOne.']"
Africa,Ghana,Fuel subsidies,63219653.8311217,Reported,['Ghana Expenditure Framework 2018-2021']
Africa,Ghana,Fisher assistance,1045460.34601401,Reported,"['Ghana Expenditure Framework 2018-2021', 'OECDStat, Overseas Development Aid, Fisheries Training']"
Africa,Ghana,Vessel buyback,0,not found evidence of subsidy,
Africa,Ghana,Rural fisher communities,474609.958852038,Reported,['Ghana Expenditure Framework 2018-2021']
Africa,Guinea,Fisheries mangt.,1334303.94640091,Reported,"['Guinea Loi de Finances 2017', 'OECDStat, Overseas Development Aid, Fisheries Policy & Management', ""Plan D'Investissement Du Secteur De La Peche Et De L'Aquaculture En Guinee 2016-2020""]"
Africa,Guinea,Fishery R&D,38000,Reported,"[""Plan D'Investissement Du Secteur De La Peche Et De L'Aquaculture En Guinee 2016-2020""]"
Africa,Guinea,MPAs,1067840.65166325,Modeled,"['Marine Conservation Institute (2018), MPAtlas; World Database on Protected Areas (WDPA); McCrea-Strub et al. (2011) Understanding the cost of establishing marine protected areas. Mar. Pol.']"
Africa,Guinea,Boat constsruct. & renov.,175000,Reported,"[""Plan D'Investissement Du Secteur De La Peche Et De L'Aquaculture En Guinee 2016-2020""]"
Africa,Guinea,Fisheries dev. projects,11658575.8318437,Reported,"['Guinea Loi de Finances 2017', 'OECDStat, Overseas Development Aid, Fishery Development', ""Plan D'Investissement Du Secteur De La Peche Et De L'Aquaculture En Guinee 2016-2020""]"
Africa,Guinea,Fishing port develop.,1123156.63312699,Reported,"['Guinea Loi de Finances 2017', ""Plan D'Investissement Du Secteur De La Peche Et De L'Aquaculture En Guinee 2016-2020""]"
Africa,Guinea,Markt. & storage infrast.,703850.620667923,Reported,"['OECDStat, Overseas Development Aid, Fishery Services', ""Plan D'Investissement Du Secteur De La Peche Et De L'Aquaculture En Guinee 2016-2020""]"
Africa,Guinea,Tax exemption,2154352.98024766,Modeled,
Africa,Guinea,Fishing access,705379.22,Modeled,"['Pauly & Zeller (2015). Sea Around Us Concepts, Design and Data (seaaroundus.org); Belhabib et al. (2015), PlosOne.']"
Africa,Guinea,Fuel subsidies,0,not found evidence of subsidy,
Africa,Guinea,Fisher assistance,16890.6152846387,Reported,"['OECDStat, Overseas Development Aid, Fisheries Training']"
Africa,Guinea,Vessel buyback,0,not found evidence of subsidy,
Africa,Guinea,Rural fisher communities,150000,Reported,"[""Plan D'Investissement Du Secteur De La Peche Et De L'Aquaculture En Guinee 2016-2020""]"
Africa,Guinea-Bissau,Fisheries mangt.,2831394.73601061,Reported,"['Guinea-Bissau Lei Do Orcamento 2015', 'OECDStat, Overseas Development Aid, Fisheries Policy & Management']"
Africa,Guinea-Bissau,Fishery R&D,61420.4752295448,Reported,"['OECDStat, Overseas Development Aid, Fisheries Research']"
Africa,Guinea-Bissau,MPAs,2620727.20448373,Modeled,"['Marine Conservation Institute (2018), MPAtlas; World Database on Protected Areas (WDPA); McCrea-Strub et al. (2011) Understanding the cost of establishing marine protected areas. Mar. Pol.']"
Africa,Guinea-Bissau,Boat constsruct. & renov.,0,not found evidence of subsidy,
Africa,Guinea-Bissau,Fisheries dev. projects,91002.7470475683,Reported,['Guinea-Bissau Lei Do Orcamento 2015']
Africa,Guinea-Bissau,Fishing port develop.,0,not found evidence of subsidy,
Africa,Guinea-Bissau,Markt. & storage infrast.,0,not found evidence of subsidy,
Africa,Guinea-Bissau,Tax exemption,0,not found evidence of subsidy,
Africa,Guinea-Bissau,Fishing access,0,not found evidence of subsidy,
Africa,Guinea-Bissau,Fuel subsidies,0,not found evidence of subsidy,
Africa,Guinea-Bissau,Fisher assistance,0,not found evidence of subsidy,
Africa,Guinea-Bissau,Vessel buyback,0,not found evidence of subsidy,
Africa,Guinea-Bissau,Rural fisher communities,2779096.1495497,Modeled,
Africa,Kenya,Fisheries mangt.,7614342.81837127,Reported,"['OECDStat, Overseas Development Aid, Fisheries Policy & Management', 'Kenya Programme-Based Budget 2018-19']"
Africa,Kenya,Fishery R&D,529675.13086641,Reported,"['OECDStat, Overseas Development Aid, Fisheries Research', 'Kenya Programme-Based Budget 2018-19']"
Africa,Kenya,MPAs,2234932.35765069,Modeled,"['Marine Conservation Institute (2018), MPAtlas; World Database on Protected Areas (WDPA); McCrea-Strub et al. (2011) Understanding the cost of establishing marine protected areas. Mar. Pol.']"
Africa,Kenya,Boat constsruct. & renov.,711467.049401167,Reported,['Kenya Programme-Based Budget 2018-19']
Africa,Kenya,Fisheries dev. projects,38135798.1428778,Reported,"['OECDStat, Overseas Development Aid, Fishery Development', 'Kenya Programme-Based Budget 2018-19']"
Africa,Kenya,Fishing port develop.,4444600.86037069,Reported,['Kenya Programme-Based Budget 2018-19']
Africa,Kenya,Markt. & storage infrast.,3204817.91876208,Reported,"['OECDStat, Overseas Development Aid, Fishery Services', 'Kenya Programme-Based Budget 2018-19']"
Africa,Kenya,Tax exemption,441949.920782313,Modeled,
Africa,Kenya,Fishing access,315437.34,Modeled,"['Pauly & Zeller (2015). Sea Around Us Concepts, Design and Data (seaaroundus.org); Belhabib et al. (2015), PlosOne.']"
Africa,Kenya,Fuel subsidies,0,not found evidence of subsidy,
Africa,Kenya,Fisher assistance,0,not found evidence of subsidy,
Africa,Kenya,Vessel buyback,0,not found evidence of subsidy,
Africa,Kenya,Rural fisher communities,0,not found evidence of subsidy,
Africa,Liberia,Fisheries mangt.,66376,Reported,['Liberia National Budget 2018-19']
Africa,Liberia,Fishery R&D,0,not found evidence of subsidy,
Africa,Liberia,MPAs,207925.214286325,Modeled,"['Marine Conservation Institute (2018), MPAtlas; World Database on Protected Areas (WDPA); McCrea-Strub et al. (2011) Understanding the cost of establishing marine protected areas. Mar. Pol.']"
Africa,Liberia,Boat constsruct. & renov.,0,not found evidence of subsidy,
Africa,Liberia,Fisheries dev. projects,1853228.02989811,Modeled,
Africa,Liberia,Fishing port develop.,0,not found evidence of subsidy,
Africa,Liberia,Markt. & storage infrast.,0,not found evidence of subsidy,
Africa,Liberia,Tax exemption,308648.518848282,Modeled,
Africa,Liberia,Fishing access,1019.04,Modeled,"['Pauly & Zeller (2015). Sea Around Us Concepts, Design and Data (seaaroundus.org); Belhabib et al. (2015), PlosOne.']"
Africa,Liberia,Fuel subsidies,1267806.74894457,Modeled,
Africa,Liberia,Fisher assistance,0,not found evidence of subsidy,
Africa,Liberia,Vessel buyback,0,not found evidence of subsidy,
Africa,Liberia,Rural fisher communities,315461.091114382,Modeled,
Africa,Libya,Fisheries mangt.,13086935.187322,Modeled,
Africa,Libya,Fishery R&D,3066307.69565448,Modeled,
Africa,Libya,MPAs,0,not found evidence of subsidy,
Africa,Libya,Boat constsruct. & renov.,0,not found evidence of subsidy,
Africa,Libya,Fisheries dev. projects,0,not found evidence of subsidy,
Africa,Libya,Fishing port develop.,0,not found evidence of subsidy,
Africa,Libya,Markt. & storage infrast.,0,not found evidence of subsidy,
Africa,Libya,Tax exemption,0,not found evidence of subsidy,
Africa,Libya,Fishing access,0,not found evidence of subsidy,
Africa,Libya,Fuel subsidies,0,not found evidence of subsidy,
Africa,Libya,Fisher assistance,0,not found evidence of subsidy,
Africa,Libya,Vessel buyback,0,not found evidence of subsidy,
Africa,Libya,Rural fisher communities,0,not found evidence of subsidy,
Africa,Madagascar,Fisheries mangt.,50033939.1110267,Reported,"['Madagascar Loi de Finances 2018-Annex A', 'OECDStat, Overseas Development Aid, Fisheries Policy & Management']"
Africa,Madagascar,Fishery R&D,1128771.6243631,Modeled,
Africa,Madagascar,MPAs,10027541.1921508,Modeled,"['Marine Conservation Institute (2018), MPAtlas; World Database on Protected Areas (WDPA); McCrea-Strub et al. (2011) Understanding the cost of establishing marine protected areas. Mar. Pol.']"
Africa,Madagascar,Boat constsruct. & renov.,0,not found evidence of subsidy,
Africa,Madagascar,Fisheries dev. projects,32804971.7287353,Reported,"['Madagascar Loi de Finances 2018-Annex A', 'OECDStat, Overseas Development Aid, Fishery Development']"
Africa,Madagascar,Fishing port develop.,22974.107355,Reported,['Madagascar Loi de Finances 2018-Annex A']
Africa,Madagascar,Markt. & storage infrast.,39887.50845,Reported,['Madagascar Loi de Finances 2018-Annex A']
